1601927877,623615,101112.0,95740.0,257.45,2,25.01,56.87,306.51,3065.12,35.24
1601927880,626615,101114.0,95466.0,256.94,2,25.01,56.84,306.58,3065.8,35.28
1601927883,629615,101112.0,96348.0,255.26,2,25.01,56.83,305.22,3052.16,34.56
1601927886,632614,101110.0,95576.0,254.99,2,25.01,56.83,305.57,3055.67,34.74
1601927889,635614,101114.0,95795.0,254.36,2,25.02,56.8,305.47,3054.67,34.69
1601927892,638615,101110.0,96348.0,253.05,2,25.01,56.79,304.54,3045.41,34.21
1601927895,641614,101110.0,96126.0,252.31,2,25.01,56.77,304.3,3043.0,34.09
1601927898,644614,101110.0,96348.0,251.35,2,25.02,56.73,303.79,3037.91,33.82
1601927901,647615,101114.0,96293.0,250.63,2,25.02,56.72,303.56,3035.62,33.71
1601927904,650615,101114.0,96348.0,250.0,2,25.01,56.75,303.35,3033.48,33.6
1601927907,653614,101112.0,95905.0,250.0,2,25.0,56.78,303.96,3039.57,33.91
1601927910,656614,101112.0,96182.0,250.0,2,25.01,56.73,303.95,3039.47,33.9
1601927913,659615,101112.0,95521.0,250.36,2,25.0,56.76,305.06,3050.56,34.48
1601927916,662615,101112.0,96016.0,250.0,2,25.01,56.74,305.02,3050.22,34.46
1601927919,665615,101112.0,96237.0,249.71,2,25.01,56.78,304.64,3046.45,34.26
1601927922,668614,101112.0,96126.0,249.66,2,25.02,56.75,304.57,3045.75,34.23
1601927925,671615,101116.0,96348.0,249.34,2,25.02,56.78,304.17,3041.7,34.02
1601927928,674615,101114.0,96293.0,249.2,2,25.02,56.81,303.98,3039.83,33.92
1601927931,677615,101114.0,96515.0,248.81,2,25.03,56.77,303.5,3034.98,33.67
1601927934,680615,101114.0,96460.0,248.64,2,25.02,56.79,303.28,3032.75,33.56
1601927937,683614,101112.0,96237.0,248.82,2,25.03,56.75,303.49,3034.87,33.67
1601927940,686615,101112.0,96460.0,248.67,2,25.03,56.74,303.28,3032.84,33.57
1601927943,689615,101112.0,96126.0,249.01,2,25.03,56.7,303.71,3037.09,33.78
1601927946,692615,101112.0,96016.0,249.43,2,25.02,56.7,304.21,3042.12,34.04
1601927949,695615,101114.0,96571.0,248.99,2,25.03,56.69,303.66,3036.57,33.76
1601927952,698615,101114.0,96795.0,248.41,2,25.02,56.73,302.93,3029.28,33.39
1601927955,701615,101114.0,96515.0,248.39,2,25.03,56.69,302.89,3028.89,33.37
1601927958,704615,101114.0,96348.0,248.6,2,25.03,56.67,303.15,3031.49,33.5
1601927961,707615,101112.0,96571.0,248.47,2,25.03,56.66,302.98,3029.8,33.41
1601927964,710615,101116.0,96964.0,247.88,2,25.04,56.61,302.24,3022.37,33.04
1601927967,713614,101114.0,97133.0,247.27,2,25.04,56.62,301.46,3014.61,32.65
1601927970,716615,101116.0,97247.0,246.71,2,25.04,56.61,300.76,3007.58,32.31
1601927973,719615,101116.0,97077.0,246.56,2,25.04,56.59,300.57,3005.66,32.21
1601927976,722614,101114.0,96908.0,246.7,3,25.04,56.58,300.72,3007.22,32.29
1601927979,725615,101114.0,97133.0,246.52,3,25.03,56.59,300.5,3004.96,32.18
1601927982,728614,101112.0,96964.0,246.63,3,25.04,56.56,300.62,3006.19,32.24
1601927985,731615,101114.0,97474.0,246.06,3,25.04,56.53,299.9,2999.02,31.89
1601927988,734614,101116.0,96739.0,246.62,3,25.05,56.53,300.59,3005.91,32.23
